inst,bag,case,label,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,feat100,feat101,feat102,feat103,feat104,feat105,feat106,feat107,feat108,feat109,feat110,feat111,feat112,feat113,feat114,feat115,feat116,feat117,feat118,feat119,feat120,feat121,feat122,feat123,feat124,feat125,feat126,feat127,feat128,feat129,feat130,feat131,feat132,feat133,feat134,feat135,feat136,feat137,feat138,feat139,feat140,feat141,feat142,feat143,feat144,feat145,feat146,feat147,feat148,feat149,feat150,feat151,feat152,feat153,feat154,feat155,feat156,feat157,feat158,feat159,feat160,feat161,feat162,feat163,feat164,feat165,feat166,feat167,feat168,feat169,feat170,feat171,feat172,feat173,feat174,feat175,feat176,feat177,feat178,feat179,feat180,feat181,feat182,feat183,feat184,feat185,feat186,feat187,feat188,feat189,feat190,feat191,feat192,feat193,feat194,feat195,feat196,feat197,feat198,feat199,feat200,feat201,feat202,feat203,feat204,feat205,feat206,feat207,feat208,feat209,feat210,feat211,feat212,feat213,feat214,feat215,feat216,feat217,feat218,feat219,feat220,feat221,feat222,feat223,feat224,feat225,feat226,feat227,feat228,feat229,feat230,feat231,feat232,feat233,feat234,feat235,feat236,feat237,feat238,feat239,feat240,feat241,feat242,feat243,feat244,feat245,feat246,feat247,feat248,feat249,feat250,feat251,feat252,feat253,feat254,feat255,feat256,feat257,feat258,feat259,feat260,feat261,feat262,feat263,feat264,feat265,feat266,feat267,feat268,feat269,feat270,feat271,feat272,feat273,feat274,feat275,feat276,feat277,feat278,feat279,feat280,feat281,feat282,feat283,feat284,feat285,feat286,feat287,feat288,feat289,feat290,feat291,feat292,feat293,feat294,feat295,feat296,feat297,feat298,feat299,feat300,feat301,feat302,feat303,feat304,feat305,feat306,feat307,feat308,feat309,feat310,feat311,feat312,feat313,feat314,feat315
10_S_3_0.jpeg,1,1,CTR,0.76374,0.29191,0.046722,233040,3820.3,297,0.26929,0.80046,0.20233,0.87044,0.60544,0.66495,0.082787,107180,4466,570.5,0.11392,0.80284,0.52899,0.9438,0.27716,0.58994,68.793,21119,257.55,1,0.22748,0.86221,0.26267,0.89121,244.89,396.68,622.76,110.59,254.04,509.59,18.536,247.74,399.9,622.5,100.36,307.75,469.24,13.901,250.78,400.78,629.42,102.99,315.49,457.6,32.591,363960,24,61,82,101540,6485,0,18.788,24,41,3.6517,12.44,3,12.042,4230.7,571.5,70525,158.17,44,46652,24245,17512,9663,5006,2649,1479,654,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23566,19890,12565,10705,12578,7970,8270,7410,6007,5560,4593,5033,4907,4175,3898,3743,3856,3573,3313,3027,3383,2838,2735,2715,2687,2539,2177,2099,2287,2090,2199,1976,1944,1996,1754,1883,1784,1914,1682,1507,1593,1446,1458,1273,1118,1132,1058,1087,997,1065,964,891,976,875,1006,872,904,871,867,14871,5359,4565,2992,2507,2448,1312,958,572,276,96,17,13,4,0,0,0,0,0,0,0,8025,12946,17456,21982,26417,30595,34928,39018,43426,48083,53403,27574,0,0,0,0,0,0,0,0,0,0,0,0,0.68413,0.54477,0.72631,0.093893,0.1079,0.084407,0.89116,0.84656,0.90594,0.041959,0.053463,0.042105,0.53241,0.43474,0.61757,0.1131,0.11668,0.10052,4173,4500,7248,4039,1159,0,0,0,0,0,0,16501,62223,93615,50531,11282,0,0,0,0,0,0,10723,27489,39099,27578,3800,0,0,0,0,0,0,1517,1506,858,1004,905,173,1445,266,117,10,11,6,100,1007,1474,2505,1967,3782,2073,393,49.456,65.908,91.337,112.56,144.34,160.45,195.34,235.58,267.2,288.34,53.045,82.154,110.16,134.7,162.43,189.4,226.19,265.32,282.27,288.34,100.66,140.34,168.83,190.92,208.68,225.99,241.96,255.34,268.34,288.34
10_S_3_1.jpeg,1,1,CTR,0.76065,0.31171,0.049396,481020,2109.7,424.5,0.24294,0.79715,0.23021,0.8822,0.67776,0.61156,0.10269,384130,7531.9,86,0.10221,0.81699,0.56163,0.94983,0.19332,0.73539,78.092,78031,327.86,1,0.19603,0.87285,0.27749,0.90479,350.74,615.01,923.62,190.08,470.66,669.57,17.482,387.82,630.42,961.23,156.04,513.7,703.86,15.524,343.45,615.36,921.77,198.07,462.92,717.83,32.55,951010,51,228,238,354360,32231,873,20,51,163,3.7172,13.07,3,12.369,6948.2,86,322090,197.74,34,160050,84600,60279,35343,20209,11817,7148,3937,2454,1089,347,95,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77374,64380,40063,33037,37350,22362,22645,19854,15742,14075,11219,11808,11103,9097,8247,7595,7700,7059,6401,5730,5888,4607,4205,4024,3840,3338,2617,2381,2345,1974,1901,1595,1444,1392,1156,1189,1083,1120,1003,902,939,795,705,496,325,238,159,105,49,38,25,13,2,0,0,0,0,0,0,0,18488,16145,10923,9358,9276,5141,4074,2500,1257,646,146,63,11,3,0,0,0,0,0,0,3541,8501,13455,18368,22947,27523,32048,36688,40896,45030,49203,53392,57519,61504,65637,69765,73736,77754,82061,86005,25386,0,0,0,0.71744,0.58611,0.75241,0.090155,0.10092,0.079944,0.90975,0.87379,0.9226,0.05504,0.069179,0.05468,0.55722,0.46052,0.64098,0.11055,0.11144,0.09646,3887,11018,13660,20265,24647,4458,96,0,0,0,0,17276,33032,70100,92660,135000,128950,7722,0,0,0,0,10234,50162,73308,107000,109150,36493,1894,0,0,0,0,7120,4795,3296,2072,3602,4374,4288,4697,4427,3341,3276,4022,3321,1395,3601,4769,3244,4165,5304,2922,119.84,190.46,231.19,279.38,314.61,347.52,383.54,418.35,459.96,508.43,140.71,200.57,247.59,293.29,328.7,364.27,393.22,426.25,471.86,508.43,171.88,246.63,295.98,343.03,384.65,418.63,446.5,466.71,484.43,508.43
10_S_3_2.jpeg,1,1,CTR,0.71368,0.37529,0.0668,98261,1213.1,230,0.23816,0.78833,0.24238,0.88531,0.6914,0.41715,0.075562,114280,7619,75,0.16886,0.78826,0.395,0.91894,0.28457,0.65155,71.923,17838,274.43,17,0.23092,0.8438,0.24334,0.89154,294.77,379.32,664.52,76.581,241.91,493.61,14.868,318.35,395.9,696.02,88.711,263.04,503.4,13.219,264.05,374.23,640.15,107.62,272.67,445.14,35.387,233620,15,81,65,102400,12096,1254,20,15,51,3.8318,13.535,3.1623,13,6827,75,98477,237.18,16,44960,23539,17914,11355,6608,3991,2624,1599,1291,882,544,250,146,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23690,18333,10629,8402,8848,5137,4871,4044,3069,2737,2114,2044,1637,1126,829,619,556,407,287,164,128,93,64,52,40,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4566,3908,2573,2104,1980,1054,815,476,221,93,25,17,5,1,0,0,0,0,0,0,5547,13944,19375,24270,30100,36424,46470,52714,4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71956,0.58834,0.75389,0.088993,0.098096,0.080225,0.92783,0.89262,0.93579,0.095749,0.11771,0.095059,0.56691,0.49549,0.65284,0.10843,0.1086,0.09985,2839,4070,2176,4389,2841,1416,107,0,0,0,0,11501,17526,22445,19486,18922,9594,463,0,0,0,0,13866,26718,23797,24709,17671,8794,285,0,0,0,0,837,221,105,658,54,169,269,187,0,0,0,0,98,245,219,2861,3105,4257,2903,1650,52.607,66.607,87.607,110.56,130.06,140.61,155.27,168.87,189.08,203.61,53.647,78.116,101.2,122.61,144.17,162.61,177.4,188.61,196.99,203.61,68.448,98.957,116.95,133.02,146.08,157.65,167.4,176.43,187.14,203.61
10_S_3_3.jpeg,1,1,CTR,0.77691,0.2898,0.0332,191120,1375,323,0.23045,0.79704,0.24392,0.88767,0.68265,0.7029,0.17517,193630,11390,94,0.10275,0.83905,0.52091,0.94897,0.21107,0.74431,75.292,39175,301.35,335,0.19983,0.84528,0.29158,0.90431,235.6,415.8,620.04,130.32,323.07,446.42,15.926,231.38,412.54,616.06,132.96,307.04,459.86,14.623,235.41,415.97,622.2,132.58,318.88,442.73,32.026,428450,17,139,130,179110,16481,210,20,19,82,3.8393,12.855,3.1623,12.166,9427.1,92,168620,200.99,47.5,77038,42792,32284,19258,11154,6346,3651,1866,938,363,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36233,29030,18072,15107,17117,10236,10010,8415,6384,5553,4490,4638,4255,3466,3097,2840,2889,2534,2234,1845,1631,1076,848,726,563,290,89,43,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9657,8351,5602,4588,4552,2497,2012,1079,505,232,74,26,0,0,0,0,0,0,0,0,4680,9885,14286,18497,22752,26993,31052,35092,39102,43062,47054,51321,55444,29190,0,0,0,0,0,0,0,0,0,0,0.71456,0.58233,0.7498,0.088746,0.099956,0.080245,0.90774,0.86886,0.92039,0.059112,0.073315,0.060184,0.56726,0.47202,0.64421,0.10098,0.10045,0.08544,4548,8431,16323,9848,25,0,0,0,0,0,0,9865,37901,65072,75287,5613,0,0,0,0,0,0,16984,47880,75673,53596,1407,0,0,0,0,0,0,1986,1216,2143,2962,740,3575,1682,3283,2281,2047,1654,1761,995,1446,2364,2894,1806,1497,1680,1163,75.444,137.29,159.79,195.49,218.56,234.17,251.7,281.85,318.52,338.99,86.326,125.72,160.48,193.12,218.95,241.18,265.66,295.89,326.99,338.99,115.63,164.63,195.31,228.99,258.49,275.8,291.69,304.99,317.97,338.99
10_S_3_0.jpeg,1,1,CTR,0.75604,0.29954,0.047077,16827,494.91,130,0.26332,0.69923,0.29605,0.87302,0.66431,0.45599,0.065336,36067,4508.4,121,0.20303,0.70327,0.37054,0.90276,0.29259,0.52825,67.81,4865,231.67,2,0.34154,0.84261,0.18177,0.84475,124.96,177.56,278.2,44.926,135.51,201.9,12.525,108.72,168.47,257.94,42.735,125.55,181.2,11.929,126.21,177.17,277.19,37.954,147.34,192.03,32.669,59386,8,34,21,29866,6388,711,20,9,13,4.1546,13.525,3.6056,13,3318.4,100,28894,491.38,45,11763,6550,5616,4062,2778,2063,1630,1002,585,334,272,186,86,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6579,4338,2194,1479,1300,646,552,396,249,162,69,52,33,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,1099,700,566,561,278,195,80,21,2,0,0,0,0,0,0,0,0,0,0,5699,10376,14661,18728,9850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76278,0.63392,0.78713,0.084923,0.085766,0.074385,0.93261,0.89892,0.94219,0.099887,0.12913,0.09819,0.54357,0.49702,0.64017,0.14545,0.13357,0.11993,1409,3108,348,0,0,0,0,0,0,0,0,7183,10266,610,0,0,0,0,0,0,0,0,19533,15643,1286,0,0,0,0,0,0,0,0,49,305,101,589,159,93,362,190,21,5,11,0,311,404,379,33,1065,560,228,0,31.518,52.197,62.807,73.507,85.701,93.719,100.3,105.15,108.72,112.72,27.719,42.719,57.15,67.752,76.827,85.083,92.506,99.719,106.72,112.72,25.719,42.27,50.719,59.979,69.719,79.049,87.757,96.748,105.21,112.72
10_S_3_1.jpeg,1,1,CTR,0.76887,0.30632,0.028374,37171,395.44,148,0.27647,0.72692,0.24487,0.86509,0.6794,0.36205,0.1711,108560,9869.2,145,0.17685,0.7053,0.45336,0.91484,0.27278,0.58246,67.383,10312,219.4,143,0.32368,0.88143,0.16699,0.84921,185.8,281.01,450.19,74.635,215.81,321,12.162,188.94,280.37,444.81,56.122,246.58,359.56,24.57,189.17,280.62,454.13,66.965,239.3,348.07,33.966,159660,11,94,47,76469,26439,8186,20,14,17,4.3709,14.226,4,13.928,5462.1,249,64854,1555.2,32,27590,16810,15179,11381,8455,6999,6189,4651,3863,2896,2255,1580,1254,739,542,290,204,144,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14561,9401,4544,3080,2732,1359,1199,910,590,439,299,268,209,148,115,99,100,80,71,59,66,43,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011,2501,1547,1224,1096,492,291,116,30,4,0,0,0,0,0,0,0,0,0,0,7501,13240,18092,23331,27967,32308,37057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75593,0.62866,0.78297,0.086959,0.092284,0.07841,0.94456,0.91645,0.95033,0.090324,0.11879,0.090672,0.5656,0.50795,0.65686,0.15654,0.15801,0.1357,1324,4404,3646,938,0,0,0,0,0,0,0,6320,19430,11236,3425,0,0,0,0,0,0,0,23716,44741,32316,8162,0,0,0,0,0,0,0,1010,594,111,874,764,589,192,289,590,240,13,81,221,78,40,289,1440,1257,997,643,42.937,91.674,111.42,129.75,145.55,152.85,162.55,168.61,173.55,176.55,40.374,60.344,76.95,91.64,106.13,120.27,134.55,148.4,162.99,176.55,72.743,100.18,116.62,127.55,137.29,147.14,154.55,161.74,169.55,176.55
10_S_3_2.jpeg,1,1,CTR,0.76065,0.33915,0.020174,38155,587,124,0.27199,0.7473,0.2285,0.8675,0.66022,0.34473,0.26783,103400,11489,80,0.1408,0.70229,0.50164,0.93073,0.31301,0.59123,82.138,9777,337.14,42,0.27909,0.8123,0.22107,0.86649,168.34,264.33,418,73.727,189.32,310.14,13.593,222.7,298.55,447.33,74.2,257.6,358.33,17.383,220.81,293.94,457.89,68.668,236.31,326.02,37.268,153850,9,65,29,68856,25358,10779,20,12,31,4.5592,14.209,4.1231,13.892,5738,100.5,64040,818,14,23288,14463,14103,11249,8763,6761,5699,4323,3807,2837,2324,1771,1504,1037,863,678,506,337,251,192,158,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11835,7982,4150,2940,2801,1422,1155,937,685,598,478,536,509,428,389,356,368,339,300,262,265,194,155,157,149,142,113,104,105,86,80,60,51,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,2153,1459,1211,1139,536,366,233,117,71,44,15,5,0,0,0,0,0,0,0,7544,12702,17517,22034,26271,30285,34558,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74316,0.62079,0.77383,0.087314,0.096289,0.077833,0.94486,0.91832,0.95267,0.076176,0.1013,0.074211,0.56351,0.51125,0.65657,0.11025,0.10837,0.098409,555,2700,5211,1311,0,0,0,0,0,0,0,5311,19342,12349,3181,0,0,0,0,0,0,0,25531,41412,32156,4793,0,0,0,0,0,0,0,306,412,631,490,499,179,282,217,0,0,0,0,0,181,929,1330,434,2087,1211,589,95.363,119.05,127.2,134.46,139.97,144.7,149.45,154.83,165.04,178.18,36.179,57.667,75.089,91.515,107.61,122.17,138.18,155.64,168.18,178.18,67.859,92.087,106.98,121.86,133.18,142.83,151.18,159.48,169.18,178.18
11_S_3_0.jpeg,2,2,CTR,0.76075,0.32341,0.069016,168040,2800.7,411.5,0.22663,0.77371,0.27067,0.88925,0.64337,0.42768,0.22001,115820,4632.8,98,0.087864,0.8259,0.56387,0.95617,0.32547,0.63258,77.681,22842,317.25,303,0.2368,0.83579,0.24341,0.8861,195.05,350.6,518.38,105.5,250.36,350.01,15.269,212.71,362.09,537.32,120.66,276.72,380.36,18.553,190.48,349.13,518.22,117.76,246.48,382.6,35.528,309490,25,60,72,92550,20664,4101,20,25,38,4.1219,13.969,3.6056,13.454,3702,98,68719,543.79,30,36684,20888,17168,12177,8308,5859,4810,3476,2634,1917,1288,665,469,341,293,196,102,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20395,16832,10812,9214,10593,6772,6968,6184,4969,4532,3741,4003,3895,3196,2903,2658,2684,2485,2324,2167,2373,2019,1960,1992,2027,1936,1695,1654,1749,1604,1667,1472,1453,1447,1253,1273,1131,1068,925,837,841,808,804,765,742,753,730,722,714,743,582,473,414,366,331,289,272,227,179,284,5496,4792,3248,2684,2767,1444,1181,690,348,148,35,9,0,0,0,0,0,0,0,0,9966,14530,18705,22862,26947,30956,35069,39072,43125,47443,20707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6876,0.55261,0.72992,0.081959,0.095062,0.074029,0.89958,0.85416,0.91196,0.040031,0.050839,0.038134,0.56493,0.47525,0.64404,0.10374,0.10803,0.096158,2466,12666,6293,1417,0,0,0,0,0,0,0,11616,29988,60978,57980,9339,0,0,0,0,0,0,17315,49533,39770,9961,166,0,0,0,0,0,0,1536,1255,1253,360,730,113,1236,1310,903,1093,316,458,923,1455,1809,2279,2521,1222,1237,833,31.345,53.484,93.493,112.24,129.05,147.39,177.03,201.78,218.68,261.51,45.337,70.294,92.161,113.75,133.47,153.69,176.45,197.87,230.74,261.51,98.493,140.51,164.51,185.27,202.34,216.41,228.67,240.37,251.1,261.51
11_S_3_0.jpeg,2,2,CTR,0.7623,0.34185,0.006104,88818,925.19,108.5,0.20218,0.80143,0.26655,0.90005,0.65937,0.45881,0.10826,183940,5748,136.5,0.15292,0.75857,0.38204,0.92441,0.37223,0.54869,66.773,5510,250.45,145,0.28555,0.78091,0.23275,0.86608,211.4,347.81,548.74,91.804,278.76,436.23,13.308,253.4,364.35,593.01,50.991,325.62,433.06,11.77,210.09,351.43,553.85,87.885,271.88,406.14,62.811,284010,32,96,22,108160,41316,37799,20,42,31,4.2518,14.453,3.6056,14.142,2575.2,205,89469,1332.8,29,42055,23068,19840,15476,12063,10178,9237,7361,6834,5566,4953,4090,3898,3184,2989,2768,2600,2252,2005,1544,1347,1088,683,540,421,298,248,222,175,145,107,38,0,0,0,0,0,0,0,0,27532,20099,11183,8143,7629,4127,3449,2510,1670,1328,902,858,722,509,378,288,257,208,190,154,139,104,84,73,49,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,1193,789,669,638,333,247,148,75,24,0,0,0,0,0,0,0,0,0,0,6959,14461,19643,24008,28125,32217,36298,40367,44288,37582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72058,0.59228,0.7567,0.080533,0.094138,0.071809,0.87758,0.81399,0.89066,0.070724,0.085303,0.067332,0.62114,0.56178,0.69415,0.10244,0.10259,0.089593,649,1643,2904,314,0,0,0,0,0,0,0,731,20854,52584,18437,0,0,0,0,0,0,0,30017,71715,67739,16421,0,0,0,0,0,0,0,171,460,0,2,0,650,619,500,468,1178,9,268,142,138,740,32,127,0,0,6,77.948,87.177,151.26,163.92,187.88,200.3,206.93,212.41,219.91,245.91,48.636,75.511,100.1,121.61,141.29,158.99,181.15,208.01,231.68,245.91,115.36,147.78,170.98,183.12,193.77,203.45,213.37,222.31,232.98,245.91
11_S_3_1.jpeg,2,2,CTR,0.73067,0.37484,0.017523,54239,968.55,152,0.2164,0.79382,0.2553,0.89387,0.74381,0.31769,0.015753,101870,11319,72,0.11346,0.81712,0.41985,0.94433,0.21405,0.62965,54.207,3998,137.86,34,0.25167,0.8769,0.21302,0.8812,174.27,269.98,424.09,68.344,220.09,311.19,13.409,216.99,296.04,458.61,61.825,222.48,366.03,20.308,161.62,268.18,408.64,81.943,214.42,340.2,36.958,163300,9,56,29,68279,21927,13876,20,13,24,4.5101,14.003,4.1231,13.454,5252.2,88,64564,913.62,106,23231,14814,14176,10945,7913,6260,5063,3538,2906,2259,2108,1841,1764,1281,1141,1023,795,634,565,452,378,287,216,176,141,96,57,22,0,0,0,0,0,0,0,0,0,0,0,0,12924,9030,5138,4112,4448,2577,2472,2006,1496,1296,1002,1040,969,751,658,625,648,591,528,452,473,365,324,311,275,261,203,181,188,155,162,135,135,127,99,104,82,91,65,53,53,38,31,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,1068,634,441,316,108,43,20,1,0,0,0,0,0,0,0,0,0,0,0,5573,11716,16264,20508,24523,28626,32747,23260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72703,0.59978,0.76204,0.083461,0.095624,0.073931,0.91939,0.88134,0.92887,0.071144,0.097005,0.068516,0.53442,0.46999,0.61735,0.12903,0.13094,0.1177,766,2126,698,408,0,0,0,0,0,0,0,17905,17409,17064,4322,0,0,0,0,0,0,0,12726,58648,26815,4413,0,0,0,0,0,0,0,165,34,37,115,11,35,10,532,311,844,42,276,263,34,2,37,81,357,661,151,54.331,91.572,112.27,136.28,154.01,164.1,170.59,175.7,182.88,192.22,56.101,82.85,102.14,118.08,132.75,148.04,161.2,172.22,182.92,192.22,41.704,64.19,83.381,102.79,122.64,137.14,149.35,162.8,179.08,192.22
